X,ahet1.m,ahet2.m,ahet3.m,ahet4.m,ahet5.m
3Fr,47.3342465753425,5.40659340659341,125.373296102176,0.0802708832033553,4.81917808219178
Alk,46.6082191780822,6.84109589041096,124.047175560107,0.129815563282097,2.55807365439094
Ane,46.4576271186441,4.37931034482759,127.997432004549,0.00761590305429168,6.54802259887006
Col,186.247252747253,23.7637362637363,179.47232794459,0.246970168352732,36.1428571428571
Dia,79.8520547945206,11.9452054794521,165.546522716194,0.230685711505594,15.4657534246575
Dts,33.0328767123288,1.984375,63.2854429174937,0.0843941449610191,3.08516483516484
Geb,43.6849315068493,4.57851239669422,84.5269236253173,0.092256446986641,3.58356164383562
Hag,126.421917808219,17.6164383561644,324.292818816791,0.229358598347312,21.8191780821918
Hus,305.262295081967,41.1475409836066,202.168035437223,0.752970864037973,63.2786885245902
Mul,162.2,23.0919117647059,188.40977782316,0.184840043730153,33.1633333333333
Odi,68.7008310249307,4.06628242074928,80.099141678239,0.0902697541497065,5.68258426966292
Ros,22.2684931506849,1.8452380952381,96.6941314032231,0.171178482108791,2.16438356164384
Sav,81.4986301369863,11.4794520547945,156.172871811499,0.212512270160334,15.0958904109589
Sel,83.7028571428571,12.814371257485,154.806163357785,0.194816298972532,15.625730994152
Wis,36.2054794520548,6.31043956043956,120.510415979528,0.221408901831489,5.27671232876712
HTP,216.305921052632,20.3256578947368,162.550239581292,0.1705,40.0065789473684
NHC,89.0855263157895,20.7796052631579,298.475256879974,0.3978,21.9769736842105
Emr,138.148148148148,22.4814814814815,214.001795083373,0.197468732126943,30.1728395061728
Hsr,40.5,NA,135.694232989684,0.147680727286835,5.56666666666667
Ccm,NA,NA,NA,NA,NA
