X,ahet1.sd,ahet2.sd,ahet3.sd,ahet4.sd,ahet5.sd
3Fr,8.08764182711184,2.34010676207686,42.4972666162477,0.0809903008668078,2.76956861471353
Alk,8.28758096151025,2.82589262453391,59.6487840516203,0.149605391257916,2.34100035076608
Ane,9.33418955436248,2.21985475709597,32.6229919679442,0.0355878654340489,3.21367634113178
Col,20.6118361281828,5.28829502191316,24.2735938257654,0.0367560142792649,8.15864925428632
Dia,9.1408410533071,4.00442890441563,35.9301368333134,0.0695818956138512,4.61865005663202
Dts,8.6484460713497,1.19465722378971,24.1003786329181,0.119716600809001,2.1782545961623
Geb,8.23967337772981,2.25238510581587,40.4366237773833,0.0661181888537398,2.64922825682623
Hag,15.938672357875,4.72958347080543,197.815163181948,0.0510009357227878,6.33455241257424
Hus,24.2623862795509,7.40008122832394,28.3305398083945,0.0660204596378858,10.6835249294431
Mul,49.3705530150992,6.05713942625446,35.7750987532855,0.0428304648396377,13.4212675867198
Odi,17.5554431057952,1.9880244822369,25.0291180371921,0.0607383915344691,2.88714100138748
Ros,7.34915852087336,1.01965599564721,43.2845546526957,0.109742505446635,1.92163576889599
Sav,11.6193341758359,3.82124479546172,28.8327877547519,0.0514529674788432,4.77851298644083
Sel,22.3298467269839,3.88980766331059,29.8301606972225,0.066994981464818,5.63454301405864
Wis,7.95412482685886,2.87188342500271,29.6604969093521,0.0793194873770411,2.61601789005424
HTP,23.0190442996445,4.95283359521109,20.7071767293919,0.028,8.83586802953343
NHC,12.8031267215274,4.8482699281098,53.3502582426644,0.089,5.30671124242937
Emr,13.695903686058,4.07771722631398,36.3377185011343,0.035117471374864,6.82053906127806
Hsr,9.25440801978226,NA,29.7837894026608,0.066202968979794,3.03854708069201
Ccm,NA,NA,NA,NA,NA
